customer_id,region,data_usage_mb_2_months_ago,data_usage_mb_last_month,data_usage_mb_this_month,days_since_recharge,complaints_last_30_days,plan_type,account_age_months,churn_risk
C-04987,Lahore South,7013,7103,7353,2,0,prepaid,11,low
C-04999,Lahore Central,5556,5165,5337,8,0,postpaid,32,low
C-03871,Lahore North,4078,4324,4483,16,1,postpaid,29,low
C-02674,Lahore North,3968,3655,1318,81,2,prepaid,32,high
C-03170,Lahore Central,2469,2469,658,80,4,prepaid,56,high
C-03082,Lahore South,7921,7697,2103,59,2,prepaid,13,high
C-00598,Lahore Central,4502,4199,931,68,2,postpaid,57,high
C-02092,Lahore North,5889,5484,1331,54,2,prepaid,45,high
C-00818,Lahore Central,7582,7575,1969,49,5,postpaid,8,high
C-01142,Lahore North,5471,5541,2124,40,4,postpaid,7,high
C-01563,Lahore North,5409,5147,1659,86,5,prepaid,20,high
C-02830,Lahore South,2848,2705,876,74,4,prepaid,41,high
C-02998,Lahore North,2619,2517,752,37,2,postpaid,23,high
C-00955,Lahore South,3113,2908,791,65,2,prepaid,23,high
C-00304,Lahore North,3462,3527,982,76,3,prepaid,51,high
C-02621,Lahore North,3114,2794,1041,62,3,postpaid,59,high
C-03466,Lahore North,5943,5976,5779,1,1,prepaid,38,low
C-01800,Lahore South,7504,6575,1520,80,3,prepaid,42,high
C-00929,Lahore South,5078,4392,1238,56,3,postpaid,48,high
C-01301,Lahore South,3337,3063,663,73,5,prepaid,37,high
C-03133,Lahore South,2266,2211,776,46,2,prepaid,59,high
C-02919,Lahore North,4999,4791,1299,49,5,postpaid,10,high
C-02323,Lahore North,3397,3358,777,68,3,prepaid,18,high
C-03034,Lahore North,6416,6446,2177,88,3,prepaid,35,high
C-02719,Lahore South,5269,5012,1326,66,5,postpaid,22,high
C-02780,Lahore North,7701,7043,1860,74,4,postpaid,49,high
C-00928,Lahore South,6810,6480,1482,60,4,prepaid,40,high
C-03508,Lahore Central,6679,6174,6113,8,1,prepaid,51,low
C-01520,Lahore Central,2263,2105,570,70,5,postpaid,28,high
C-04302,Lahore North,6379,6091,6142,7,0,postpaid,21,low
C-02224,Lahore North,3739,3548,765,47,4,prepaid,54,high
C-01781,Lahore South,5975,5737,2146,41,5,postpaid,3,high
C-04291,Lahore South,4115,4296,4497,13,0,prepaid,48,low
C-03445,Lahore South,6569,6979,6920,15,0,postpaid,29,low
C-01889,Lahore Central,6586,6200,1733,34,3,prepaid,8,high
C-02405,Lahore South,6366,6235,2147,41,4,postpaid,13,high
C-01608,Lahore South,6790,6540,2100,51,4,prepaid,8,high
C-00771,Lahore North,6483,5817,1894,33,3,prepaid,6,high
C-03798,Lahore North,5997,6394,6398,19,0,prepaid,28,low
C-04143,Lahore Central,2374,2561,2593,19,1,postpaid,28,low
C-02362,Lahore South,3144,3060,1078,72,3,prepaid,25,high
C-01732,Lahore South,5807,5214,1169,59,4,prepaid,59,high
C-02958,Lahore South,7453,6647,2194,82,5,prepaid,40,high
C-04992,Lahore South,7765,8015,8008,9,1,postpaid,39,low
C-01348,Lahore Central,5651,5692,1223,69,4,postpaid,49,high
C-02579,Lahore South,2566,2493,696,62,4,prepaid,56,high
C-02181,Lahore Central,3926,3867,1428,50,3,prepaid,32,high
C-01227,Lahore North,4034,3978,1349,68,5,postpaid,14,high
C-02989,Lahore North,2816,2445,894,32,3,postpaid,27,high
C-03247,Lahore Central,2073,1967,2047,15,1,prepaid,18,low
C-03400,Lahore North,6338,6767,6968,15,0,postpaid,52,low
C-04969,Lahore Central,4001,3767,3895,14,1,postpaid,41,low
C-01617,Lahore North,7918,7521,2925,44,4,postpaid,24,high
C-03158,Lahore South,6167,5901,1650,36,3,prepaid,59,high
C-00423,Lahore Central,2289,2160,826,71,5,prepaid,23,high
C-00085,Lahore Central,7605,7240,1623,80,2,postpaid,37,high
C-04923,Lahore North,2825,2687,2779,2,1,prepaid,25,low
C-03722,Lahore North,3128,3045,3195,12,0,prepaid,47,low
C-02556,Lahore Central,7189,6335,1797,48,2,prepaid,28,high
C-03117,Lahore Central,2072,1871,629,50,5,postpaid,6,high
C-02593,Lahore North,2091,1972,716,53,5,prepaid,21,high
C-01920,Lahore South,7478,7061,1890,39,3,postpaid,15,high
C-02152,Lahore North,4542,4572,1066,39,4,prepaid,4,high
C-02390,Lahore Central,6961,6316,2192,65,2,prepaid,21,high
C-01333,Lahore North,2898,2935,1052,39,4,prepaid,52,high
C-01621,Lahore North,4358,3907,1124,48,4,prepaid,17,high
C-04518,Lahore North,5606,5933,6190,20,1,postpaid,6,low
C-04681,Lahore North,3893,3822,3700,19,1,prepaid,5,low
C-04059,Lahore South,6828,7296,7115,1,1,prepaid,56,low
C-01605,Lahore Central,5734,5180,2043,45,5,postpaid,26,high
C-04104,Lahore North,5823,5582,5829,15,0,prepaid,28,low
C-02142,Lahore South,6435,6264,2366,71,4,postpaid,51,high
C-02546,Lahore Central,2928,2523,544,76,2,prepaid,56,high
C-02841,Lahore South,4612,4543,1053,66,3,prepaid,29,high
C-01685,Lahore North,5021,5049,1517,68,4,prepaid,44,high
C-03185,Lahore North,2305,2084,533,89,5,prepaid,33,high
C-03292,Lahore Central,6208,6080,6275,13,1,prepaid,45,low
C-00351,Lahore South,7120,6652,2150,36,3,postpaid,3,high
C-03387,Lahore Central,5093,5298,5293,1,1,postpaid,43,low
C-04921,Lahore Central,6479,6929,7145,12,0,postpaid,38,low
C-02892,Lahore Central,2320,2128,548,87,2,prepaid,56,high
C-00802,Lahore South,5856,5876,1234,33,2,postpaid,28,high
C-01286,Lahore South,2278,1982,553,74,3,postpaid,52,high
C-00088,Lahore South,3442,3355,1318,69,5,postpaid,30,high
C-00159,Lahore Central,4732,4218,949,43,2,prepaid,40,high
C-01887,Lahore South,4168,4149,1232,81,5,postpaid,51,high
C-01633,Lahore North,6019,5686,1374,32,5,postpaid,42,high
C-00079,Lahore North,2670,2482,868,52,3,prepaid,52,high
C-03325,Lahore North,2515,2461,2427,12,0,prepaid,7,low
C-00870,Lahore Central,3660,3376,1223,73,5,postpaid,10,high
C-04001,Lahore South,2206,2210,2314,6,1,prepaid,60,low
C-01467,Lahore North,2939,2588,684,52,3,prepaid,16,high
C-00437,Lahore Central,5682,5279,1484,52,3,postpaid,22,high
C-02698,Lahore North,5171,4739,1090,81,3,prepaid,29,high
C-00125,Lahore South,5399,4901,1752,82,2,postpaid,49,high
C-03081,Lahore North,5434,5135,1135,41,4,prepaid,46,high
C-03986,Lahore Central,6036,6199,6192,8,1,prepaid,38,low
C-04064,Lahore North,5922,6187,6088,4,0,postpaid,13,low
C-04456,Lahore Central,2253,2416,2478,20,1,prepaid,6,low
C-02832,Lahore Central,3164,3176,1235,46,3,prepaid,38,high
C-02947,Lahore North,3701,3284,1175,70,4,prepaid,51,high
C-04973,Lahore South,3569,3317,3320,8,0,prepaid,8,low
C-02814,Lahore South,5737,5232,1900,84,5,prepaid,52,high
C-04159,Lahore South,2194,2249,2360,19,0,prepaid,45,low
C-03672,Lahore Central,7338,6989,6679,7,0,postpaid,60,low
C-01856,Lahore North,2910,2533,867,85,4,postpaid,31,high
C-03169,Lahore South,7058,7130,1662,75,4,postpaid,20,high
C-03099,Lahore South,2625,2635,1005,81,2,prepaid,17,high
C-03016,Lahore North,5580,4999,1944,62,3,prepaid,17,high
C-00184,Lahore South,4093,3680,824,77,5,prepaid,11,high
C-00281,Lahore North,2820,2595,891,73,3,prepaid,38,high
C-02460,Lahore Central,4480,3959,1011,62,3,prepaid,42,high
C-01377,Lahore Central,3237,2849,872,41,5,prepaid,60,high
C-01665,Lahore North,6481,5969,1204,57,4,postpaid,36,high
C-04952,Lahore Central,7384,7269,7132,2,0,prepaid,25,low
C-04148,Lahore Central,5279,5366,5608,20,1,prepaid,44,low
C-03576,Lahore North,6948,6625,6862,13,0,prepaid,55,low
C-04318,Lahore North,3121,3115,3226,19,0,postpaid,46,low
C-04415,Lahore North,6379,6343,6463,1,1,prepaid,18,low
C-03317,Lahore Central,7419,7207,7431,19,0,prepaid,23,low
C-02264,Lahore Central,2798,2844,893,47,3,prepaid,55,high
C-04328,Lahore North,2455,2611,2513,17,0,postpaid,31,low
